listing_id,date
50188,2012-09-12
50188,2012-09-20
50188,2013-04-08
50188,2013-05-09
50188,2013-06-30
50188,2013-07-07
50188,2013-07-20
50188,2013-08-10
50188,2013-08-19
50188,2013-09-03
50188,2013-11-01
50188,2013-11-04
50188,2013-12-24
50188,2014-02-23
50188,2014-04-21
50188,2014-05-23
50188,2014-06-06
50188,2014-06-10
50188,2014-06-20
50188,2014-06-24
50188,2014-06-30
50188,2014-07-25
50188,2014-07-31
50188,2014-08-10
50188,2014-09-12
50188,2014-10-07
50188,2014-10-10
50188,2014-11-23
50188,2015-01-05
50188,2015-01-17
50188,2015-03-30
50188,2015-04-05
50188,2015-04-14
50188,2015-04-26
50188,2015-05-03
50188,2015-05-10
50188,2015-05-25
50188,2015-06-03
50188,2015-06-24
50188,2015-06-30
50188,2015-07-13
50188,2015-07-16
50188,2015-07-24
50188,2015-07-27
50188,2015-08-01
50188,2015-08-19
50188,2015-08-31
50188,2015-09-24
50188,2015-10-03
50188,2015-10-07
50188,2015-10-17
50188,2015-10-26
50188,2016-04-10
50188,2016-05-03
50188,2016-05-14
50188,2016-05-25
50188,2016-06-03
50188,2016-06-29
50188,2016-07-09
50188,2016-07-21
50188,2016-08-05
50188,2016-08-13
50188,2016-10-08
50188,2016-10-18
50188,2016-10-23
50188,2016-10-30
50188,2017-01-03
50188,2017-02-14
50188,2017-02-28
50188,2017-03-15
50188,2017-04-13
50188,2017-04-17
50188,2017-04-29
50188,2017-05-08
50188,2017-05-25
50188,2017-05-28
50188,2017-06-02
50188,2017-06-12
50188,2017-06-16
50188,2017-07-08
50188,2017-07-15
50188,2017-08-02
50188,2017-08-06
50188,2017-08-19
50188,2017-08-23
50188,2017-09-03
50188,2017-09-20
50188,2017-10-07
50188,2017-10-24
50188,2017-10-29
50188,2017-11-11
50188,2017-11-29
50188,2017-12-23
50188,2018-01-01
50188,2018-03-20
50188,2018-04-03
50188,2018-04-12
50188,2018-04-18
50188,2018-05-01
50188,2018-05-06
50188,2018-05-25
50188,2018-06-11
50188,2018-06-21
50188,2018-06-30
50188,2018-07-15
50188,2018-08-02
50188,2018-08-11
50188,2018-08-19
50188,2018-09-02
50188,2018-09-16
50188,2018-09-24
50188,2018-10-06
50188,2018-10-14
50188,2018-10-22
50188,2018-11-03
50188,2018-12-12
50188,2019-01-02
50188,2019-02-08
50188,2019-04-09
50188,2019-05-01
50188,2019-05-11
50188,2019-05-20
50188,2019-05-28
50188,2019-06-08
50188,2019-06-16
50188,2019-06-23
50188,2019-08-09
50188,2019-08-31
50188,2019-09-18
50188,2019-09-28
50188,2019-10-14
50188,2019-10-26
50188,2019-10-31
50188,2019-11-05
50188,2019-12-27
50188,2020-01-02
50188,2020-08-10
50188,2020-09-29
50188,2020-10-31
50188,2021-05-30
50188,2021-06-06
50188,2021-07-04
50188,2021-07-17
50188,2021-07-25
50188,2021-08-06
50188,2021-09-12
50188,2021-09-19
50188,2021-10-03
50188,2021-10-08
50188,2021-10-22
50188,2021-10-30
50188,2022-01-04
50188,2022-04-15
50188,2022-04-23
50188,2022-04-29
50188,2022-05-08
50188,2022-05-27
50188,2022-06-04
50188,2022-06-17
50188,2022-06-24
50188,2022-07-31
50188,2022-08-08
50188,2022-08-24
50188,2022-09-01
50188,2022-09-09
102120,2012-09-17
102120,2013-02-26
102120,2013-04-03
102120,2013-04-15
102120,2013-06-11
102120,2013-08-05
102120,2013-11-04
102120,2014-05-18
102120,2014-06-17
102120,2014-10-05
102120,2015-04-29
102120,2015-06-10
102120,2016-05-04
102120,2017-05-21
102120,2018-07-03
102120,2018-07-10
102120,2018-11-03
102120,2019-07-17
102120,2019-07-25
102120,2020-07-04
102120,2020-12-01
102120,2021-06-05
102120,2021-06-14
102120,2021-08-01
102120,2021-08-21
102120,2021-09-26
102120,2022-01-02
102120,2022-05-26
102120,2022-06-16
102120,2022-07-25
102120,2022-09-03
109123,2012-08-15
109123,2012-08-31
109123,2013-05-01
109123,2013-07-13
109123,2013-08-01
109123,2013-08-28
109123,2013-09-13
109123,2013-10-03
109123,2013-11-05
109123,2014-04-13
109123,2014-05-19
109123,2014-06-19
109123,2014-07-04
109123,2014-07-10
109123,2014-08-08
109123,2014-08-14
109123,2014-09-07
109123,2014-10-11
109123,2014-10-24
109123,2015-05-10
109123,2015-06-05
109123,2015-07-04
109123,2015-07-11
109123,2015-07-17
109123,2015-07-26
109123,2015-08-02
109123,2015-08-11
109123,2015-08-30
109123,2015-09-10
109123,2015-09-21
109123,2015-10-10
109123,2015-10-20
109123,2015-11-02
109123,2015-12-31
109123,2016-01-22
109123,2016-02-09
109123,2016-04-04
109123,2016-04-21
109123,2016-05-02
109123,2016-06-08
109123,2016-07-02
109123,2016-07-23
109123,2016-08-03
109123,2016-08-11
109123,2016-08-19
109123,2016-09-02
109123,2016-09-12
109123,2016-09-18
109123,2016-09-25
109123,2016-10-11
109123,2017-02-05
109123,2017-05-03
109123,2017-05-31
109123,2017-07-09
109123,2017-07-19
109123,2017-08-02
109123,2017-08-25
109123,2017-09-03
109123,2017-09-11
109123,2017-09-25
109123,2017-12-30
109123,2018-01-31
